"","wbgene","gene_name","gene_id","concise_description","automated_description","gene_class_description","go_term","go_name","go_description","inside_CI","eqtl","vars","pc_vars","go_annotation"
"1","WBGene00000977","dhs-14","R05D8.8","dhs-14 encodes a short chain-type of alcohol/other dehydrogenase,  more similar to 18 paralogs in C. elegans than to any non-worm protein; it is dispensable  for viability and gross morphology in mass RNAi screens. ","Is an ortholog of human HSD17B14. Is predicted to encode  a protein with the following domains: Short-chain dehydrogenase/reductase SDR and  NAD(P)-binding domain superfamily. ","DeHydrogenases, Short chain ","GO:0055114","oxidation-reduction process","A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons.",TRUE,FALSE,TRUE,TRUE,NA
"2","WBGene00000978","dhs-15","R05D8.10","dhs-15 encodes a member of the short chain dehydrogenase/reductase  family. ","Is an ortholog of human HSD17B14. Is predicted to encode  a protein with the following domains: Short-chain dehydrogenase/reductase SDR and  NAD(P)-binding domain superfamily. ","DeHydrogenases, Short chain ","GO:0055114","oxidation-reduction process","A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons.",TRUE,FALSE,TRUE,TRUE,NA
"3","WBGene00001758","gst-10","Y45G12C.2a","gst-10 encodes a glutathione S-transferase with similarity  to the pi class of human glutathione S-transferases; GST-10 catalyzes the conjugation  of glutathione to 4-hydroxynonenal in vitro. ","Is an ortholog of human GSTP1 (glutathione S-transferase  pi 1). Exhibits glutathione transferase activity. Is involved in several processes,  including determination of adult lifespan; heat acclimation; and response to UV-C.  Is expressed in head and tail. Is used to study obesity. ","Glutathione S-Transferase ","GO:0004364","glutathione transferase activity","Catalysis of the reaction: R-X + glutathione = H-X + R-S-glutathione. R may be an aliphatic, aromatic or heterocyclic group; X may be a sulfate, nitrile or halide group.",FALSE,TRUE,FALSE,FALSE,NA
"4","WBGene00001758","gst-10","Y45G12C.2a","gst-10 encodes a glutathione S-transferase with similarity  to the pi class of human glutathione S-transferases; GST-10 catalyzes the conjugation  of glutathione to 4-hydroxynonenal in vitro. ","Is an ortholog of human GSTP1 (glutathione S-transferase  pi 1). Exhibits glutathione transferase activity. Is involved in several processes,  including determination of adult lifespan; heat acclimation; and response to UV-C.  Is expressed in head and tail. Is used to study obesity. ","Glutathione S-Transferase ","GO:0005575","cellular_component","A location, relative to cellular compartments and structures, occupied by a macromolecular machine when it carries out a molecular function. There are two ways in which the gene ontology describes locations of gene products: (1) relative to cellular structures (e.g., cytoplasmic side of plasma membrane) or compartments (e.g., mitochondrion), and (2) the stable macromolecular complexes of which they are parts (e.g., the ribosome).",FALSE,TRUE,FALSE,FALSE,NA
"5","WBGene00001758","gst-10","Y45G12C.2a","gst-10 encodes a glutathione S-transferase with similarity  to the pi class of human glutathione S-transferases; GST-10 catalyzes the conjugation  of glutathione to 4-hydroxynonenal in vitro. ","Is an ortholog of human GSTP1 (glutathione S-transferase  pi 1). Exhibits glutathione transferase activity. Is involved in several processes,  including determination of adult lifespan; heat acclimation; and response to UV-C.  Is expressed in head and tail. Is used to study obesity. ","Glutathione S-Transferase ","GO:0005829","cytosol","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.",FALSE,TRUE,FALSE,FALSE,NA
"6","WBGene00001758","gst-10","Y45G12C.2a","gst-10 encodes a glutathione S-transferase with similarity  to the pi class of human glutathione S-transferases; GST-10 catalyzes the conjugation  of glutathione to 4-hydroxynonenal in vitro. ","Is an ortholog of human GSTP1 (glutathione S-transferase  pi 1). Exhibits glutathione transferase activity. Is involved in several processes,  including determination of adult lifespan; heat acclimation; and response to UV-C.  Is expressed in head and tail. Is used to study obesity. ","Glutathione S-Transferase ","GO:0006749","glutathione metabolic process","The chemical reactions and pathways involving glutathione, the tripeptide glutamylcysteinylglycine, which acts as a coenzyme for some enzymes and as an antioxidant in the protection of sulfhydryl groups in enzymes and other proteins; it has a specific role in the reduction of hydrogen peroxide (H2O2) and oxidized ascorbate, and it participates in the gamma-glutamyl cycle.",FALSE,TRUE,FALSE,FALSE,NA
"7","WBGene00001758","gst-10","Y45G12C.2a","gst-10 encodes a glutathione S-transferase with similarity  to the pi class of human glutathione S-transferases; GST-10 catalyzes the conjugation  of glutathione to 4-hydroxynonenal in vitro. ","Is an ortholog of human GSTP1 (glutathione S-transferase  pi 1). Exhibits glutathione transferase activity. Is involved in several processes,  including determination of adult lifespan; heat acclimation; and response to UV-C.  Is expressed in head and tail. Is used to study obesity. ","Glutathione S-Transferase ","GO:0008340","determination of adult lifespan","The control of viability and duration in the adult phase of the life-cycle.",FALSE,TRUE,FALSE,FALSE,NA
"8","WBGene00001758","gst-10","Y45G12C.2a","gst-10 encodes a glutathione S-transferase with similarity  to the pi class of human glutathione S-transferases; GST-10 catalyzes the conjugation  of glutathione to 4-hydroxynonenal in vitro. ","Is an ortholog of human GSTP1 (glutathione S-transferase  pi 1). Exhibits glutathione transferase activity. Is involved in several processes,  including determination of adult lifespan; heat acclimation; and response to UV-C.  Is expressed in head and tail. Is used to study obesity. ","Glutathione S-Transferase ","GO:0010225","response to UV-C","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a UV-C radiation stimulus. UV-C radiation (UV-C light) spans the wavelengths 100 to 280 nm.",FALSE,TRUE,FALSE,FALSE,NA
"9","WBGene00001758","gst-10","Y45G12C.2a","gst-10 encodes a glutathione S-transferase with similarity  to the pi class of human glutathione S-transferases; GST-10 catalyzes the conjugation  of glutathione to 4-hydroxynonenal in vitro. ","Is an ortholog of human GSTP1 (glutathione S-transferase  pi 1). Exhibits glutathione transferase activity. Is involved in several processes,  including determination of adult lifespan; heat acclimation; and response to UV-C.  Is expressed in head and tail. Is used to study obesity. ","Glutathione S-Transferase ","GO:0010286","heat acclimation","Any process that increases heat tolerance of an organism in response to high temperatures.",FALSE,TRUE,FALSE,FALSE,NA
"10","WBGene00001758","gst-10","Y45G12C.2a","gst-10 encodes a glutathione S-transferase with similarity  to the pi class of human glutathione S-transferases; GST-10 catalyzes the conjugation  of glutathione to 4-hydroxynonenal in vitro. ","Is an ortholog of human GSTP1 (glutathione S-transferase  pi 1). Exhibits glutathione transferase activity. Is involved in several processes,  including determination of adult lifespan; heat acclimation; and response to UV-C.  Is expressed in head and tail. Is used to study obesity. ","Glutathione S-Transferase ","GO:0016740","transferase activity","Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2.",FALSE,TRUE,FALSE,FALSE,NA
